"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:01:41.7623437 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7623538 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7624029 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7624133 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7630624 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7630742 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7630994 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7631102 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7631554 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7631656 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7637393 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7637522 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7637701 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7637800 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7638239 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7638337 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7644346 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7644458 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7645926 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7646089 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7646287 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7646396 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7646855 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7646960 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7654487 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7654615 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7654801 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7654908 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
"9:01:41.7655435 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7655547 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability","SUCCESS",""
