"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"1:59:24.1552688 PM","wmiprvse.exe","3120","RegQueryValue","HKLM\System\CurrentControlSet\Control\PriorityControl\Win32PrioritySeparation","BUFFER OVERFLOW","Length: 12"
"1:59:24.1552766 PM","wmiprvse.exe","3120","RegQueryValue","HKLM\System\CurrentControlSet\Control\PriorityControl\Win32PrioritySeparation","SUCCESS","Type: REG_DWORD, Length: 4, Data: 38"
"1:59:24.5238976 PM","wmiprvse.exe","3120","RegQueryValue","HKLM\System\CurrentControlSet\Control\PriorityControl\Win32PrioritySeparation","BUFFER OVERFLOW","Length: 12"
"1:59:24.5239060 PM","wmiprvse.exe","3120","RegQueryValue","HKLM\System\CurrentControlSet\Control\PriorityControl\Win32PrioritySeparation","SUCCESS","Type: REG_DWORD, Length: 4, Data: 38"
