"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"1:59:04.6913834 PM","wmiprvse.exe","3120","RegQueryValue","HKLM\System\CurrentControlSet\Control\PriorityControl\Win32PrioritySeparation","BUFFER OVERFLOW","Length: 12"
"1:59:04.6913913 PM","wmiprvse.exe","3120","RegQueryValue","HKLM\System\CurrentControlSet\Control\PriorityControl\Win32PrioritySeparation","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2"
"1:59:05.2125894 PM","wmiprvse.exe","3120","RegQueryValue","HKLM\System\CurrentControlSet\Control\PriorityControl\Win32PrioritySeparation","BUFFER OVERFLOW","Length: 12"
"1:59:05.2125987 PM","wmiprvse.exe","3120","RegQueryValue","HKLM\System\CurrentControlSet\Control\PriorityControl\Win32PrioritySeparation","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2"
