"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"11:18:08.2880441 AM","svchost.exe","2924","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability\PBR","SUCCESS",""
"11:18:08.8294115 AM","svchost.exe","4312","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability\PBR","SUCCESS","Desired Access: Read"
"11:18:08.8294320 AM","svchost.exe","4312","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Reliability\PBR\LastSuccessfulRefreshTime","SUCCESS","Type: REG_QWORD, Length: 8, Data: "
