MODE=set
REGISTRY_PATH=HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager
VALUE_NAME=HideExclusionsFromLocalAdmins
STATE=1
PML_EXISTS=True
CSV_EXISTS=True
MATCH_COUNT=45
12:20:48.1602365 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowCloudProtection | NAME NOT FOUND | Length: 16
12:20:48.1602726 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowRealtimeMonitoring | NAME NOT FOUND | Length: 16
12:20:48.1606136 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SubmitSamplesConsent | NAME NOT FOUND | Length: 16
12:20:48.1607730 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowCloudProtection | NAME NOT FOUND | Length: 16
12:20:48.1612524 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SubmitSamplesConsent | NAME NOT FOUND | Length: 16
12:20:48.1631862 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowRealtimeMonitoring | NAME NOT FOUND | Length: 16
12:20:48.1634800 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowCloudProtection | NAME NOT FOUND | Length: 16
12:20:48.1639868 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SubmitSamplesConsent | NAME NOT FOUND | Length: 16
12:20:48.1757757 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowRealtimeMonitoring | NAME NOT FOUND | Length: 16
12:20:48.1761610 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowCloudProtection | NAME NOT FOUND | Length: 16
12:20:48.1765772 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SubmitSamplesConsent | NAME NOT FOUND | Length: 16
12:20:48.1986067 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowRealtimeMonitoring | NAME NOT FOUND | Length: 16
12:20:48.1988862 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowCloudProtection | NAME NOT FOUND | Length: 16
12:20:48.1990584 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SubmitSamplesConsent | NAME NOT FOUND | Length: 16
ORIGINAL={"path_exists":true,"value_exists":false,"value":null}
RESTORED={"path_exists":true,"value_exists":false,"value":null}
