"CandidateId","ValueName","TimeOfDay","ProcessName","PID","Operation","Path","Result","Detail"
"power.control.lid-reliability-state","LidReliabilityState","2:42:30.1804522 PM","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Control\Power\LidReliabilityState","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"power.control.hibernate-enabled","HibernateEnabled","2:42:38.9486834 PM","smss.exe","428","RegQueryValue","HKLM\System\CurrentControlSet\Control\Power\HibernateEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
