"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:09:56.8371335 AM","Explorer.EXE","4536","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\IconsOnly","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"9:09:57.6338723 AM","Explorer.EXE","4536","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\IconsOnly","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"9:09:58.0839473 AM","explorer.exe","4880","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\IconsOnly","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"9:09:58.6365467 AM","explorer.exe","956","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\IconsOnly","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
