"timestamp","cpu_percent","committed_bytes","avg_disk_sec_per_transfer","disk_transfers_per_sec"
"2026-03-24T12:26:38.9677162+03:00","9.57","1368002560","0.000537","8.96"
"2026-03-24T12:26:44.2470609+03:00","1.4","1377521664","0.000329","0.99"
"2026-03-24T12:26:49.3029548+03:00","1.3","1378877440","0.000392","7.99"
"2026-03-24T12:26:54.3371703+03:00","2.39","1376714752","0.001303","31.95"
"2026-03-24T12:26:59.3806528+03:00","15.54","1418137600","0.023225","628.56"
"2026-03-24T12:27:04.4099933+03:00","1.38","1309560832","0","3.99"
