"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:25:18.2600937 AM","Explorer.EXE","6336","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ShowSuperHidden","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:25:18.4850679 AM","explorer.exe","1516","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ShowSuperHidden","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:25:18.9563912 AM","explorer.exe","4736","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ShowSuperHidden","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:25:21.8534090 AM","Explorer.EXE","6336","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ShowSuperHidden","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:25:23.0945122 AM","explorer.exe","4736","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ShowSuperHidden","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
