"timestamp","cpu_percent","committed_bytes","avg_disk_sec_per_transfer","disk_transfers_per_sec"
"2026-03-24T12:19:12.4458945+03:00","10.88","1371492352","0.000908","24.94"
"2026-03-24T12:19:17.5180085+03:00","2.35","1379364864","0.000368","0"
"2026-03-24T12:19:22.5903470+03:00","3.44","1382297600","0.000363","33.81"
"2026-03-24T12:19:27.6245217+03:00","1.65","1380302848","0.000691","138.57"
"2026-03-24T12:19:32.6704260+03:00","22.65","1420541952","0.004168","610.11"
"2026-03-24T12:19:37.7244187+03:00","2.76","1316233216","0.000358","3"
