"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:13:36.6202963 PM","Procmon64.exe","2976","QueryBasicInformationFile","C:\Windows\System32\shlwapi.dll","SUCCESS","CreationTime: 9/15/2025 10:40:40 PM, LastAccessTime: 3/21/2026 3:21:24 AM, LastWriteTime: 9/15/2025 10:40:40 PM, ChangeTime: 3/21/2026 3:19:28 AM, FileAttributes: A"
"7:13:36.6203098 PM","Procmon64.exe","2976","CloseFile","C:\Windows\System32\shlwapi.dll","SUCCESS",""
"7:13:36.6203256 PM","Procmon64.exe","2976","IRP_MJ_CLOSE","C:\Windows\System32\shlwapi.dll","SUCCESS",""
"7:13:36.6383616 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\shlwapi.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"7:13:36.6384439 PM","Procmon64.exe","2976","QueryStandardInformationFile","C:\Windows\System32\shlwapi.dll","SUCCESS","AllocationSize: 413,696, EndOfFile: 410,528, NumberOfLinks: 2, DeletePending: False, Directory: False"
"7:13:36.6384621 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\shlwapi.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"7:13:36.6384708 PM","Procmon64.exe","2976","QueryStandardInformationFile","C:\Windows\System32\shlwapi.dll","SUCCESS","AllocationSize: 413,696, EndOfFile: 410,528, NumberOfLinks: 2, DeletePending: False, Directory: False"
"7:13:36.6384772 PM","Procmon64.exe","2976","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\shlwapi.dll","SUCCESS",""
"7:13:36.6384850 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\shlwapi.dll","SUCCESS","SyncType: SyncTypeOther"
"7:13:36.6384903 PM","Procmon64.exe","2976","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\shlwapi.dll","SUCCESS",""
"7:13:36.6385573 PM","Procmon64.exe","2976","CloseFile","C:\Windows\System32\shlwapi.dll","SUCCESS",""
"7:13:36.6385763 PM","Procmon64.exe","2976","IRP_MJ_CLOSE","C:\Windows\System32\shlwapi.dll","SUCCESS",""
"7:13:36.6387276 PM","Procmon64.exe","2976","QueryOpen","C:\Windows\System32\shell32.dll","FAST IO DISALLOWED",""
"7:13:36.6388231 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\shell32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:13:36.6388504 PM","Procmon64.exe","2976","QueryBasicInformationFile","C:\Windows\System32\shell32.dll","SUCCESS","CreationTime: 9/15/2025 10:40:40 PM, LastAccessTime: 3/21/2026 3:21:24 AM, LastWriteTime: 9/15/2025 10:40:40 PM, ChangeTime: 3/21/2026 3:19:28 AM, FileAttributes: A"
"7:13:36.6388581 PM","Procmon64.exe","2976","CloseFile","C:\Windows\System32\shell32.dll","SUCCESS",""
"7:13:36.6388684 PM","Procmon64.exe","2976","IRP_MJ_CLOSE","C:\Windows\System32\shell32.dll","SUCCESS",""
"7:13:36.6389086 PM","Procmon64.exe","2976","RegOpenKey","HKLM\Software\Microsoft\LanguageOverlay\OverlayPackages\en-US","NAME NOT FOUND","Desired Access: Read"
"7:13:36.6389902 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\en-US\shell32.dll.mui","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
